Title,Author,Average rating,Number of Ratings,Year,Book description,Book image,Genre
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.14,2801732,2005,"Harriet Vanger, a scion of one of Sweden’s wealthiest families disappeared over forty years ago. All these years later, her aged uncle continues to seek the truth. He hires Mikael Blomkvist, a crusading journalist recently trapped by a libel conviction, to investigate. He is aided by the pierced and tattooed punk prodigy Lisbeth Salander. Together they tap into a vein of uHarriet Vanger, a scion of one of Sweden’s wealthiest families disappeared over forty years ago. All these years later, her aged uncle continues to seek the truth. He hires Mikael Blomkvist, a crusading journalist recently trapped by a libel conviction, to investigate. He is aided by the pierced and tattooed punk prodigy Lisbeth Salander. Together they tap into a vein of unfathomable iniquity and astonishing corruption.An international publishing sensation, Stieg Larsson’s The Girl with the Dragon Tattoo combines murder mystery, family saga, love story, and financial intrigue into one satisfyingly complex and entertainingly atmospheric novel.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868566l/2429135.jpg,"['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Adult Fiction', 'Novels']"
"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.24,854837,2006,"Part blistering espionage thriller, part riveting police procedural, and part piercing exposé on social injustice,  is a masterful, endlessly satisfying novel.  Mikael Blomkvist, crusading publisher of the magazine , has decided to run a story that will expose an extensive sex trafficking operation. On the eve of its publication, the Part blistering espionage thriller, part riveting police procedural, and part piercing exposé on social injustice,  is a masterful, endlessly satisfying novel.  Mikael Blomkvist, crusading publisher of the magazine Millennium, has decided to run a story that will expose an extensive sex trafficking operation. On the eve of its publication, the two reporters responsible for the article are murdered, and the fingerprints found on the murder weapon belong to his friend, the troubled genius hacker Lisbeth Salander. Blomkvist, convinced of Salander’s innocence, plunges into an investigation. Meanwhile, Salander herself is drawn into a murderous game of cat and mouse, which forces her to face her dark past.From the Trade Paperback edition.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351778881l/5060378.jpg,"['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Cultural', 'Sweden', 'Adult', 'Audiobook']"
Gone Girl (Paperback),Gillian Flynn,4.09,2543622,2012,"Marriage can be a real killer.On a warm summer morning in North Carthage, Missouri, it is Nick and Amy Dunne’s fifth wedding anniversary. Presents are being wrapped and reservations are being made when Nick’s clever and beautiful wife disappears from their rented McMansion on the Mississippi River. Husband-of-the-Year Nick isn’t doing himself any favors with cringe-worthy Marriage can be a real killer.On a warm summer morning in North Carthage, Missouri, it is Nick and Amy Dunne’s fifth wedding anniversary. Presents are being wrapped and reservations are being made when Nick’s clever and beautiful wife disappears from their rented McMansion on the Mississippi River. Husband-of-the-Year Nick isn’t doing himself any favors with cringe-worthy daydreams about the slope and shape of his wife’s head, but passages from Amy's diary reveal the alpha-girl perfectionist could have put anyone dangerously on edge. Under mounting pressure from the police and the media—as well as Amy’s fiercely doting parents—the town golden boy parades an endless series of lies, deceits, and inappropriate behavior. Nick is oddly evasive, and he’s definitely bitter—but is he really a killer?As the cops close in, every couple in town is soon wondering how well they know the one that they love. With his twin sister, Margo, at his side, Nick stands by his innocence. Trouble is, if Nick didn’t do it, where is that beautiful wife? And what was in that silvery gift box hidden in the back of her bedroom closet?With her razor-sharp writing and trademark psychological insight, Gillian Flynn delivers a fast-paced, devilishly dark, and ingeniously plotted thriller that confirms her status as one of the hottest writers around.One of the most critically acclaimed suspense writers of our time, New York Times bestseller Gillian Flynn takes that statement to its darkest place in this unputdownable masterpiece about a marriage gone terribly, terribly wrong. The Chicago Tribune proclaimed that her work “draws you in and keeps you reading with the force of a pure but nasty addiction.” Gone Girl’s toxic mix of sharp-edged wit and deliciously chilling prose creates a nerve-fraying thriller that confounds you at every turn.Source: gillian-flynn.com",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554086139l/19288043.jpg,"['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Adult Fiction', 'Audiobook']"
And Then There Were None (Paperback),Agatha Christie,4.26,966961,1939,"First, there were ten—a curious assortment of strangers summoned as weekend guests to a little private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal—and a secret that will seal their fate. For each has been marked for murder.First, there were ten—a curious assortment of strangers summoned as weekend guests to a little private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal—and a secret that will seal their fate. For each has been marked for murder. A famous nursery rhyme is framed and hung in every room of the mansion:""Ten little boys went out to dine; One choked his little self and then there were nine. Nine little boys sat up very late; One overslept himself and then there were eight. Eight little boys traveling in Devon; One said he'd stay there then there were seven. Seven little boys chopping up sticks; One chopped himself in half and then there were six. Six little boys playing with a hive; A bumblebee stung one and then there were five. Five little boys going in for law; One got in Chancery and then there were four. Four little boys going out to sea; A red herring swallowed one and then there were three. Three little boys walking in the zoo; A big bear hugged one and then there were two. Two little boys sitting in the sun; One got frizzled up and then there was one. One little boy left all alone; He went out and hanged himself and then there were none.""When they realize that murders are occurring as described in the rhyme, terror mounts. One by one they fall prey. Before the weekend is out, there will be none. Who has choreographed this dastardly scheme? And who will be left to tell the tale? Only the dead are above suspicion.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391120695l/16299.jpg,"['Mystery', 'Classics', 'Fiction', 'Mystery', 'Crime', 'Thriller', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Adult', 'Suspense', 'Novels']"
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,4.22,684656,2007,"The stunning third and final novel in Stieg Larsson's internationally best-selling trilogy.Lisbeth Salander - the heart of Larsson's two previous novels - lies in critical condition, a bullet wound to her head, in the intensive care unit of a Swedish city hospital. She's fighting for her life in more ways than one: if and when she recovers, she'll be taken back to StockholThe stunning third and final novel in Stieg Larsson's internationally best-selling trilogy.Lisbeth Salander - the heart of Larsson's two previous novels - lies in critical condition, a bullet wound to her head, in the intensive care unit of a Swedish city hospital. She's fighting for her life in more ways than one: if and when she recovers, she'll be taken back to Stockholm to stand trial for three murders. With the help of her friend, journalist Mikael Blomkvist, she will not only have to prove her innocence, but also identify and denounce those in authority who have allowed the vulnerable, like herself, to suffer abuse and violence. And, on her own, she will plot revenge - against the man who tried to kill her, and the corrupt government institutions that very nearly destroyed her life.Once upon a time, she was a victim. Now Salander is fighting back.~from the jacket",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327708260l/6892870.jpg,"['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Cultural', 'Sweden', 'Audiobook']"
The Girl on the Train (Hardcover),Paula Hawkins,3.94,2352846,2015,"Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She’s even started to feel like she knows the people who live in one of the houses. “Jess and Jason,” she calls them. Their life—as she sees it—is perfect. If only Rachel could be that happy. And then she sees something shocking. It’Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She’s even started to feel like she knows the people who live in one of the houses. “Jess and Jason,” she calls them. Their life—as she sees it—is perfect. If only Rachel could be that happy. And then she sees something shocking. It’s only a minute until the train moves on, but it’s enough. Now everything’s changed. Now Rachel has a chance to become a part of the lives she’s only watched from afar. Now they’ll see; she’s much more than just the girl on the train...",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574805682l/22557272.jpg,"['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Audiobook', 'Adult Fiction']"
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.18,446581,1934,"Just after midnight, a snowdrift stops the Orient Express in its tracks. The luxurious train is surprisingly full for the time of the year, but by the morning it is one passenger fewer. An American tycoon lies dead in his compartment, stabbed a dozen times, his door locked from the inside.Isolated and with a killer in their midst, detective Hercule Poirot must identify theJust after midnight, a snowdrift stops the Orient Express in its tracks. The luxurious train is surprisingly full for the time of the year, but by the morning it is one passenger fewer. An American tycoon lies dead in his compartment, stabbed a dozen times, his door locked from the inside.Isolated and with a killer in their midst, detective Hercule Poirot must identify the murderer—in case he or she decides to strike again.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486131451l/853510._SY475_.jpg,"['Mystery', 'Classics', 'Fiction', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Thriller', 'Mystery', 'Detective', 'Adult', 'European Literature', 'British Literature']"
"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,3.87,522223,2013,"After losing his leg to a land mine in Afghanistan, Cormoran Strike is barely scraping by as a private investigator. Then John Bristow walks through his door with an amazing story: His sister, the legendary supermodel Lula Landry, famously fell to her death a few months earlier. The police ruled it a suicide, but John refuses to believe that. The case plunges Strike into tAfter losing his leg to a land mine in Afghanistan, Cormoran Strike is barely scraping by as a private investigator. Then John Bristow walks through his door with an amazing story: His sister, the legendary supermodel Lula Landry, famously fell to her death a few months earlier. The police ruled it a suicide, but John refuses to believe that. The case plunges Strike into the world of multimillionaire beauties, rock-star boyfriends, and desperate designers, and it introduces him to every variety of pleasure, enticement, seduction, and delusion known to man.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540217136l/16160797.jpg,"['Mystery', 'Fiction', 'Mystery', 'Crime', 'Thriller', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Adult', 'Contemporary', 'Mystery', 'Detective', 'Adult Fiction']"
In Cold Blood (Paperback),Truman Capote,4.06,580372,1965,"On November 15, 1959, in the small town of Holcomb, Kansas, four members of the Clutter family were savagely murdered by blasts from a shotgun held a few inches from their faces. There was no apparent motive for the crime, and there were almost no clues. As Truman Capote reconstructs the murder and the investigation that led to the capture, trial, and execution of the killOn November 15, 1959, in the small town of Holcomb, Kansas, four members of the Clutter family were savagely murdered by blasts from a shotgun held a few inches from their faces. There was no apparent motive for the crime, and there were almost no clues. As Truman Capote reconstructs the murder and the investigation that led to the capture, trial, and execution of the killers, he generates both mesmerizing suspense and astonishing empathy. At the center of his study are the amoral young killers Perry Smith and Dick Hickcock, who, vividly drawn by Capote, are shown to be reprehensible yet entirely and frighteningly human.  is a seminal work of modern prose, a remarkable synthesis of journalistic skill and powerfully evocative narrative.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424931136l/168642.jpg,"['Nonfiction', 'Classics', 'Crime', 'True Crime', 'Mystery', 'Crime', 'Mystery', 'History', 'Thriller', 'Literature', 'Literature', 'American', 'Audiobook']"
Sharp Objects (Paperback),Gillian Flynn,3.98,782376,2006,"Fresh from a brief stay at a psych hospital, reporter Camille Preaker faces a troubling assignment: she must return to her tiny hometown to cover the unsolved murder of a preteen girl and the disappearance of another. For years, Camille has hardly spoken to her neurotic, hypochondriac mother or to the half-sister she barely knows: a beautiful thirteen-year-old with an eeriFresh from a brief stay at a psych hospital, reporter Camille Preaker faces a troubling assignment: she must return to her tiny hometown to cover the unsolved murder of a preteen girl and the disappearance of another. For years, Camille has hardly spoken to her neurotic, hypochondriac mother or to the half-sister she barely knows: a beautiful thirteen-year-old with an eerie grip on the town. Now, installed in her old bedroom in her family's Victorian mansion, Camille finds herself identifying with the young victims—a bit too strongly. Dogged by her own demons, she must unravel the psychological puzzle of her own past if she wants to get the story—and survive this homecoming.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1475695315l/18045891.jpg,"['Mystery', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Adult', 'Contemporary', 'Audiobook', 'Adult Fiction']"
